set,training_auc,training_acc,validation_auc,validation_acc,test_auc,test_acc,sensitivity,specificity,precision,recall,F1
fold 1,0.9998,0.9998,0.9902,0.9511,0.9879,0.9568,0.9425,0.9694,0.9647,0.9425,0.9535
fold 2,0.9998,0.9998,0.9841,0.9348,0.9877,0.9348,0.9684,0.8989,0.9109,0.9684,0.9388
fold 3,1.0000,1.0000,0.9748,0.9511,0.9844,0.9293,0.9114,0.9429,0.9231,0.9114,0.9172
fold 4,1.0000,1.0000,0.9790,0.9457,0.9705,0.9402,0.9278,0.9540,0.9574,0.9278,0.9424
fold 5,0.9998,0.9998,0.9896,0.9622,0.9747,0.9185,0.9140,0.9231,0.9239,0.9140,0.9189
ave.,1.0000,1.0000,0.9800,0.9500,0.9800,0.9400,0.9300,0.9400,0.9400,0.9300,0.9300
