set,training_auc,training_acc,validation_auc,validation_acc,test_auc,test_acc
fold1,0.92,0.92,0.93,0.93,0.93,0.93
fold2,0.93,0.93,0.91,0.91,0.94,0.94
fold3,0.93,0.93,0.92,0.92,0.92,0.92
fold4,0.93,0.93,0.93,0.93,0.92,0.92
fold5,0.93,0.93,0.93,0.93,0.93,0.93
ave.,0.93,0.93,0.93,0.92,0.93,0.93
