set,training_auc,training_acc,validation_auc,validation_acc,test_auc,test_acc
fold 1,1,1,0.99,0.96,0.96,1
fold 2,1,1,0.98,0.96,0.99,1
fold 3,1,1,0.99,0.97,0.98,1
fold 4,1,1,0.99,0.92,0.99,1
fold 5,1,1,0.97,0.92,0.98,1
ave.,1,1,0.98,0.95,0.98,1
