set,training_auc,training_acc,validation_auc,validation_acc,test_auc,test_acc,sensitivity,specificity,precision,recall,F1
fold 1,0.99,0.99,0.99,0.95,0.96,1,0.8929,0.8911,0.8721,0.8929,0.8824
fold 2,0.98,0.98,0.96,0.92,0.98,1,0.8718,0.9717,0.9577,0.8718,0.9128
fold 3,0.98,0.98,0.99,0.96,0.96,1,0.8252,0.9383,0.9444,0.8252,0.8808
fold 4,1.00,1.00,0.96,0.93,0.96,1,0.9565,0.9457,0.9462,0.9565,0.9514
fold 5,1.00,1.00,0.98,0.95,0.95,1,0.9043,0.9222,0.9239,0.9043,0.9140
ave.,0.99,0.99,0.98,0.94,0.96,1,0.8900,0.9300,0.9300,0.8900,0.9100
