set,training_auc,training_acc,validation_auc,validation_acc,test_auc,test_acc,sensitivity,specificity,precision,recall,F1
fold 1,0.96,0.96,0.86,0.85,0.89,1,0.9158,0.8667,0.8788,0.9158,0.8969
fold 2,0.94,0.94,0.91,0.91,0.88,1,0.9195,0.8351,0.8333,0.9195,0.8743
fold 3,0.92,0.92,0.87,0.88,0.92,1,0.9000,0.9362,0.9310,0.9000,0.9153
fold 4,0.92,0.92,0.92,0.92,0.92,1,0.9462,0.8901,0.8980,0.9462,0.9215
fold 5,0.94,0.94,0.91,0.91,0.90,1,0.9048,0.8861,0.9135,0.9048,0.9091
ave.,0.94,0.94,0.89,0.89,0.90,1,0.9200,0.8800,0.8900,0.9200,0.9000
