set,training_auc,training_acc,validation_auc,validation_acc,test_auc,test_acc,sensitivity,specificity,precision,recall,F1
fold 1,0.99,0.99,0.97,0.92,0.97,1,0.9398,0.9608,0.9512,0.9398,0.9455
fold 2,1.00,1.00,0.98,0.95,0.96,1,0.9263,0.9326,0.9362,0.9263,0.9312
fold 3,0.98,0.98,0.97,0.93,0.98,1,0.9205,0.9375,0.9310,0.9205,0.9257
fold 4,0.98,0.98,0.97,0.93,0.97,1,0.8511,0.9667,0.9639,0.8511,0.9040
fold 5,0.99,0.99,0.98,0.97,0.97,1,0.9121,0.9140,0.9121,0.9121,0.9121
